event_id,date,amount,variant_id,created_at,number_of_items,uniq_number,version
6,2022-10-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Октябрь 2022,1
6,2022-11-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Ноябрь 2022,1
6,2022-12-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Декабрь 2022,1
6,2023-01-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Январь 2023,1
6,2023-02-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Февраль 2023,1
6,2023-03-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Март 2023,1
6,2023-04-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Апрель 2023,1
6,2023-05-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Май 2023,1
6,2023-06-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Июнь 2023,1
6,2023-07-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Июль 2023,1
6,2023-08-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Август 2023,1
6,2023-09-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Сентябрь 2023,1
6,2023-10-01 00:00:00,0,193,2024-01-09 13:59:19.415559,57,193 - Октябрь 2023,1
6,2023-11-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Ноябрь 2023,1
6,2023-12-01 00:00:00,1233,193,2024-01-09 13:59:19.415559,60,193 - Декабрь 2023,1
6,2024-01-01 00:00:00,2399,193,2024-01-09 13:59:19.415559,113,193 - Январь 2024,1
6,2024-02-01 00:00:00,6973,193,2024-01-09 13:59:19.415559,321,193 - Февраль 2024,1
6,2024-03-01 00:00:00,10777,193,2024-01-09 13:59:19.415559,493,193 - Март 2024,1
6,2024-04-01 00:00:00,12712,193,2024-01-09 13:59:19.415559,581,193 - Апрель 2024,1
6,2024-05-01 00:00:00,14977,193,2024-01-09 13:59:19.415559,684,193 - Май 2024,1
6,2024-06-01 00:00:00,17135,193,2024-01-09 13:59:19.415559,717,193 - Июнь 2024,1
6,2024-07-01 00:00:00,23739,193,2024-01-09 13:59:19.415559,916,193 - Июль 2024,1
6,2024-08-01 00:00:00,30497,193,2024-01-09 13:59:19.415559,1176,193 - Август 2024,1
6,2024-09-01 00:00:00,30497,193,2024-01-09 13:59:19.415559,1176,193 - Сентябрь 2024,1
6,2024-10-01 00:00:00,33719,193,2024-01-09 13:59:19.415559,1300,193 - Октябрь 2024,1
6,2024-11-01 00:00:00,50613,193,2024-01-09 13:59:19.415559,1950,193 - Ноябрь 2024,1
